dma	googleid
Birmingham AL	US-AL-630
Columbus GA	US-AL-522
Dothan AL	US-AL-606
Huntsville-Decatur (Florence) AL	US-AL-691
Meridian MS	US-AL-711
Mobile AL-Pensacola (Ft. Walton Beach) FL	US-AL-686
Montgomery (Selma) AL	US-AL-698
Anchorage AK	US-AK-743
Fairbanks AK	US-AK-745
Juneau AK	US-AK-747
Phoenix AZ	US-AZ-753
Tucson (Sierra Vista) AZ	US-AZ-789
Yuma AZ-El Centro CA	US-AZ-771
Ft. Smith-Fayetteville-Springdale-Rogers AR	US-AR-670
Jonesboro AR	US-AR-734
Little Rock-Pine Bluff AR	US-AR-693
Memphis TN	US-AR-640
Monroe LA-El Dorado AR	US-AR-628
Shreveport LA	US-AR-612
Springfield MO	US-AR-619
Bakersfield CA	US-CA-800
Chico-Redding CA	US-CA-868
Eureka CA	US-CA-802
Fresno-Visalia CA	US-CA-866
Los Angeles CA	US-CA-803
Medford-Klamath Falls OR	US-CA-813
Monterey-Salinas CA	US-CA-828
Palm Springs CA	US-CA-804
Reno NV	US-CA-811
Sacramento-Stockton-Modesto CA	US-CA-862
San Diego CA	US-CA-825
San Francisco-Oakland-San Jose CA	US-CA-807
Santa Barbara-Santa Maria-San Luis Obispo CA	US-CA-855
Colorado Springs-Pueblo CO	US-CO-752
Denver CO	US-CO-751
Grand Junction-Montrose CO	US-CO-773
Hartford & New Haven CT	US-CT-533
Philadelphia PA	US-DE-504
Salisbury MD	US-DE-576
Ft. Myers-Naples FL	US-FL-571
Gainesville FL	US-FL-592
Jacksonville FL	US-FL-561
Miami-Ft. Lauderdale FL	US-FL-528
Orlando-Daytona Beach-Melbourne FL	US-FL-534
Panama City FL	US-FL-656
Tallahassee FL-Thomasville GA	US-FL-530
Tampa-St. Petersburg (Sarasota) FL	US-FL-539
West Palm Beach-Ft. Pierce FL	US-FL-548
Albany GA	US-GA-525
Atlanta GA	US-GA-524
Augusta GA	US-GA-520
Chattanooga TN	US-GA-575
Macon GA	US-GA-503
Savannah GA	US-GA-507
Honolulu HI	US-HI-744
Boise ID	US-ID-757
Idaho Falls-Pocatello ID	US-ID-758
Spokane WA	US-ID-881
Twin Falls ID	US-ID-760
Champaign & Springfield-Decatur IL	US-IL-648
Chicago IL	US-IL-602
Davenport IA-Rock Island-Moline IL	US-IL-682
Evansville IN	US-IL-649
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	US-IL-632
Peoria-Bloomington IL	US-IL-675
Quincy IL-Hannibal MO-Keokuk IA	US-IL-717
Rockford IL	US-IL-610
St. Louis MO	US-IL-609
Terre Haute IN	US-IL-581
Cincinnati OH	US-IN-515
Ft. Wayne IN	US-IN-509
Indianapolis IN	US-IN-527
Lafayette IN	US-IN-582
Louisville KY	US-IN-529
South Bend-Elkhart IN	US-IN-588
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	US-IA-637
Des Moines-Ames IA	US-IA-679
Omaha NE	US-IA-652
Ottumwa IA-Kirksville MO	US-IA-631
Rochester MN-Mason City IA-Austin MN	US-IA-611
Sioux City IA	US-IA-624
Joplin MO-Pittsburg KS	US-KS-603
Kansas City MO	US-KS-616
St. Joseph MO	US-KS-638
Topeka KS	US-KS-605
Wichita-Hutchinson KS	US-KS-678
Bowling Green KY	US-KY-736
Charleston-Huntington WV	US-KY-564
Knoxville TN	US-KY-557
Lexington KY	US-KY-541
Nashville TN	US-KY-659
Tri-Cities TN-VA	US-KY-531
Alexandria LA	US-LA-644
Baton Rouge LA	US-LA-716
Lafayette LA	US-LA-642
Lake Charles LA	US-LA-643
New Orleans LA	US-LA-622
Bangor ME	US-ME-537
Portland-Auburn ME	US-ME-500
Presque Isle ME	US-ME-552
Baltimore MD	US-MD-512
Washington DC (Hagerstown MD)	US-MD-511
Boston MA-Manchester NH	US-MA-506
Providence RI-New Bedford MA	US-MA-521
Springfield-Holyoke MA	US-MA-543
Alpena MI	US-MI-583
Detroit MI	US-MI-505
Flint-Saginaw-Bay City MI	US-MI-513
Grand Rapids-Kalamazoo-Battle Creek MI	US-MI-563
Lansing MI	US-MI-551
Marquette MI	US-MI-553
Toledo OH	US-MI-547
Traverse City-Cadillac MI	US-MI-540
Duluth MN-Superior WI	US-MN-676
Fargo-Valley City ND	US-MN-724
La Crosse-Eau Claire WI	US-MN-702
Mankato MN	US-MN-737
Minneapolis-St. Paul MN	US-MN-613
Biloxi-Gulfport MS	US-MS-746
Columbus-Tupelo-West Point MS	US-MS-673
Greenwood-Greenville MS	US-MS-647
Hattiesburg-Laurel MS	US-MS-710
Jackson MS	US-MS-718
Columbia-Jefferson City MO	US-MO-604
Billings, MT	US-MT-756
Butte-Bozeman MT	US-MT-754
Glendive MT	US-MT-798
Great Falls MT	US-MT-755
Helena MT	US-MT-766
Minot-Bismarck-Dickinson(Williston) ND	US-MT-687
Missoula MT	US-MT-762
Cheyenne WY-Scottsbluff NE	US-NE-759
Lincoln & Hastings-Kearney NE	US-NE-722
North Platte NE	US-NE-740
Sioux Falls(Mitchell) SD	US-NE-725
Las Vegas NV	US-NV-839
Salt Lake City UT	US-NV-770
Burlington VT-Plattsburgh NY	US-NH-523
New York NY	US-NJ-501
Albuquerque-Santa Fe NM	US-NM-790
Amarillo TX	US-NM-634
El Paso TX	US-NM-765
Albany-Schenectady-Troy NY	US-NY-532
Binghamton NY	US-NY-502
Buffalo NY	US-NY-514
Elmira NY	US-NY-565
Rochester NY	US-NY-538
Syracuse NY	US-NY-555
Utica NY	US-NY-526
Watertown NY	US-NY-549
Charlotte NC	US-NC-517
Florence-Myrtle Beach SC	US-NC-570
Greensboro-High Point-Winston Salem NC	US-NC-518
Greenville-New Bern-Washington NC	US-NC-545
Greenville-Spartanburg SC-Asheville NC-Anderson SC	US-NC-567
Norfolk-Portsmouth-Newport News VA	US-NC-544
Raleigh-Durham (Fayetteville) NC	US-NC-560
Wilmington NC	US-NC-550
Cleveland-Akron (Canton) OH	US-OH-510
Columbus OH	US-OH-535
Dayton OH	US-OH-542
Lima OH	US-OH-558
Parkersburg WV	US-OH-597
Wheeling WV-Steubenville OH	US-OH-554
Youngstown OH	US-OH-536
Zanesville OH	US-OH-596
Oklahoma City OK	US-OK-650
Sherman TX-Ada OK	US-OK-657
Tulsa OK	US-OK-671
Wichita Falls TX & Lawton OK	US-OK-627
Bend OR	US-OR-821
Eugene OR	US-OR-801
Portland OR	US-OR-820
Yakima-Pasco-Richland-Kennewick WA	US-OR-810
Erie PA	US-PA-516
Harrisburg-Lancaster-Lebanon-York PA	US-PA-566
Johnstown-Altoona PA	US-PA-574
Pittsburgh PA	US-PA-508
Wilkes Barre-Scranton PA	US-PA-577
Charleston SC	US-SC-519
Columbia SC	US-SC-546
Rapid City SD	US-SD-764
Jackson TN	US-TN-639
Abilene-Sweetwater TX	US-TX-662
Austin TX	US-TX-635
Beaumont-Port Arthur TX	US-TX-692
Corpus Christi TX	US-TX-600
Dallas-Ft. Worth TX	US-TX-623
Harlingen-Weslaco-Brownsville-McAllen TX	US-TX-636
Houston TX	US-TX-618
Laredo TX	US-TX-749
Lubbock TX	US-TX-651
Odessa-Midland TX	US-TX-633
San Angelo TX	US-TX-661
San Antonio TX	US-TX-641
Tyler-Longview(Lufkin & Nacogdoches) TX	US-TX-709
Victoria TX	US-TX-626
Waco-Temple-Bryan TX	US-TX-625
Bluefield-Beckley-Oak Hill WV	US-VA-559
Charlottesville VA	US-VA-584
Harrisonburg VA	US-VA-569
Richmond-Petersburg VA	US-VA-556
Roanoke-Lynchburg VA	US-VA-573
Seattle-Tacoma WA	US-WA-819
Clarksburg-Weston WV	US-WV-598
Green Bay-Appleton WI	US-WI-658
Madison WI	US-WI-669
Milwaukee WI	US-WI-617
Wausau-Rhinelander WI	US-WI-705
Casper-Riverton WY	US-WY-767
